#,Display Name,Email,YT Channel,YT Subscribers,Type,Sells,Niche,Country,Cadence,Last Upload (days),Uploads (90d),IG Account,IG Followers,Skool Community,Skool Link,# of Members,Status
137,Catalyst Athletics,Email in YouTube Bio,https://www.youtube.com/@CatalystAthletics,157000,solo,,no,United States,biweekly,21,8,https://www.instagram.com/catalystathletics,,,,,ok
138,lana ♡,,https://www.youtube.com/@lanaserenelife,152000,solo,,no,,biweekly,14,8,,,,,,ok
139,Fergus Crawley,Email in YouTube Bio,https://www.youtube.com/@ferguscrawley95,151000,solo,,no,United Kingdom,weekly,12,10,https://www.instagram.com/ferguscrawley/,,,,,ok
140,Rachel Vinn,Email in YouTube Bio,https://www.youtube.com/@RachelVinn,148000,solo,"storefront, own site",no,United States,weekly,0,24,https://www.instagram.com/rach.vinn/,,,,,ok
141,Mana,,https://www.youtube.com/@ManaVlogs_yt,139000,solo,,no,Canada,biweekly,8,6,,,,,,ok
142,Team Charles-Barclay,,https://www.youtube.com/@LucyCharlesBarclay,139000,solo,,no,United Kingdom,monthly,3,4,https://www.instagram.com/hollycharlesphotography_,,,,,ok
143,BPN,Email in YouTube Bio,https://www.youtube.com/@bpnsupps,138000,business,,no,United States,weekly,9,14,https://www.instagram.com/bpnsupps/,,,,,ok
144,Roots in the Wild,Email in YouTube Bio,https://www.youtube.com/@Roots-In-The-Wild,132000,solo,membership,yes,United Kingdom,weekly,2,11,https://www.instagram.com/jessicakleczka/,,,,,ok
145,Holly Brooks,Email in YouTube Bio,https://www.youtube.com/@hollyjobrooks,131000,solo,,no,,weekly,0,13,https://www.instagram.com/p/CRbBzd6Bc3y/,,,,,ok
146,Michelle Roots Fitness & Nutrition Coach,Email in YouTube Bio,https://www.youtube.com/@MichelleRoots,129000,solo,,no,Canada,biweekly,3,8,http://www.instagram.com/michellerootsfit,,,,,ok
147,Andi Renay,,https://www.youtube.com/@andirenay,128000,solo,,no,,biweekly,30,6,,,,,,ok
148,Cobra Scalez,,https://www.youtube.com/@cobrascalez,125000,solo,community,no,,monthly,4,3,https://www.instagram.com/cobrasthenics/,,Cobrasthenics Bootcamp,https://www.skool.com/cobrasthenics-7347/about,2800,ok
149,Lauralie Chapados,Email in YouTube Bio,https://www.youtube.com/@LauralieChapadosIFBBPro,122000,solo,,no,United States,weekly,0,15,https://www.instagram.com/lauraliechap/,,,,,ok
150,emi’s spellbook,,https://www.youtube.com/@emisspellbook,118000,solo,,no,,biweekly,11,5,,,,,,ok
151,Bupa Health,,https://www.youtube.com/@BupaHealth,118000,solo,"app, own site",no,United Kingdom,biweekly,21,6,https://www.instagram.com/bupa.uk,,,,,ok
152,Mitch Boyer,Email in YouTube Bio,https://www.youtube.com/@MitchBoyer,117000,solo,,no,United States,monthly,14,3,https://www.instagram.com/mitchwayneboyer/,,,,,ok
153,UHM - Upcoming Horror Movies,Email in YouTube Bio,https://www.youtube.com/@UHMovies,112000,business,membership,no,United States,weekly,0,30,https://www.instagram.com/uhmovies/,,,,,ok
154,Holiday Expert,Email in YouTube Bio,https://www.youtube.com/c/CheapHolidayExpert,109000,solo,,yes,United Kingdom,monthly,14,3,https://www.instagram.com/holidayexpert/,,,,,ok
155,Sorta Healthy Trainer Education,Email in YouTube Bio,https://www.youtube.com/@SortaHealthyTrainerEducation,108000,solo,,no,United States,biweekly,4,9,https://www.instagram.com/sortahealthyjeff,,,,,ok
156,maggy,Email in YouTube Bio,https://www.youtube.com/@maggymaa,102000,solo,,no,,monthly,1,2,https://www.instagram.com/mmmaaggyyy/,,,,,ok
157,Just Elias,,https://www.youtube.com/@just_elias,95400,solo,,no,,biweekly,0,5,https://www.instagram.com/justt_eliass/,,,,,ok
158,Living the life you love,Email in YouTube Bio,https://www.youtube.com/@Livingthelifeyoulove,94000,solo,,no,United Kingdom,weekly,2,12,https://www.instagram.com/livingthelifeyoulove/,,,,,ok
159,sydgrows,Email in YouTube Bio,https://www.youtube.com/@sydgrows,86000,solo,,no,,monthly,9,2,https://www.instagram.com/sydgrows/,,,,,ok
